pos,team,played,won,loss,draw
1,Germany,7,6,0,1
2,Argentina,7,6,1,0
3,Netherlands,7,6,1,0
4,Brazil,7,4,2,1
5,Costa Rica,5,3,1,1
6,Belgium,5,4,1,0
7,Colombia,5,4,1,0
8,France,5,3,1,1
9,United States of America,4,1,2,1
10,Switzerland,4,2,2,0
11,Algeria,4,1,2,1
12,Nigeria,4,1,2,1
13,Greece,4,1,2,1
14,Mexico,4,2,1,1
15,Uruguay,4,2,2,0
16,Chile,4,2,2,0
17,Croatia,3,1,2,0
18,Cameroon,3,0,3,0
19,Spain,3,1,2,0
20,Australia,3,0,3,0
21,Ivory Coast,3,1,2,0
22,Japan,3,0,2,1
23,Italy,3,1,2,0
24,England,3,0,2,1
25,Ecuador,3,1,1,1
26,Honduras,3,0,3,0
27,South Korea,3,0,2,1
28,Russia,3,0,1,2
29,Bosnia,3,1,2,0
30,Iran,3,0,2,1
31,Portugal,3,1,1,1
32,Ghana,3,0,2,1
